Diagnostico;Eritrócitos;Hemoglobina;Hematócrito;HCM;VGM;CHGM;Metarrubrícitos;ProteínaPlasmática;Leucócitos;Leucograma;Segmentados;Bastonetes;Blastos;Metamielócitos;Mielócitos;Linfócitos;Monócitos;Eosinófilos;Basófilos;Plaquetas;
DRC;6,5;14,7;44;;67,69;33,4;0;9,9;28,5;;23.085;1.140;;0;0;1.710;1.425;1.140;0;Agregadas;
Hipercolesterolemia;6,47;15,1;45;;69,55;33,55;1;8;8,5;;4.420;0;;0;0;3.655;340;85;0;245.000;
Anemia;5,9;13,3;39;;66,1;34,1;0;7,5;9,8;;6.762;0;;0;0;1.960;490;588;0;368.000;
Lesão hepática;7,23;19;55;;76,38;34,54;0;7,8;7,3;;4.088;0;;0;0;1.752;730;730;0;432.000;
Infecção bacteriana;6,7;16;46;;68,65;34,78;0;8,2;18,9;;12.663;0;;0;0;4.536;1.512;189;0;Agregadas;
Desidratação;7,89;18,6;56;;71,79;33,21;0;8;8,4;;4.872;0;;0;0;2.352;420;756;0;372.00;
DRC;4,72;12;31;65,68;25,42;38,71;;6,4;7,9;7.268;7.268;0;;0;;316;;158;;519.000;
Infecção parasitária;6,18;13,2;38;;62,29;34,73;0;6;9,3;;5.580;0;;0;0;1.116;651;1.953;0;360.000;
Infecção Viral;7,47;11,2;34;;45,94;32,94;0;8,1;24,9;;20.916;0;;0;0;3.237;249;249;249;Agregadas;
DRC e Cardiopatia;8,12;20,2;57;;70,37;35,43;0;8,4;12,9;;9.933;645;;0;0;903;1.419;0;0;324.000;
Neoplasia hepática;5,62;12,7;43;;76,78;31,86;0;8,6;11,1;;7.770;0;;0;0;2.109;888;333;0;860.000;
Anemia hemolítica;6,05;14,7;42;;70;35;0;8,5;16,4;;12.956;0;;0;0;1.968;1.476;0;0;Agregadas;
Diabetes;7;16;46;22,86;65,71;34,78;;11;10,7;7.062;6.955;107;0;0;;3.424;0;214;0;660.000;
DRC;5,77;13,5;37;23,4;64,12;36,49;;7,2;18;15.660;15.660;0;0;0;;900;1.080;360;0;671.000;
Pré-diabetes;6;14;41;23,33;68,33;34,15;;8,4;12,44;9.703,20;9.578,80;124,4;0;0;;2.114,80;373;248,8;0;356.000;
Anemia e infecção;2,56;5,6;19;21,88;74,22;29,47;0;5;37400;30668;29172;1496;0;0;0;2992;748;3711;0;600.000;
Anemia e infecção;4,74;10,4;33;21,94;69,62;31,5;0;4;47,9;43110;36.883;6227;0;0;0;2.395;2.395;0;0;170.000;
Hepatopata;7;16;45;22,86;64,29;35,56;0;9;10730;7832,9;7832;0;0;0;0;2253,3;536,5;107,3;0;277.000;
Anemia;0,56;7,5;5,7;133,9;101,8;131,6;0;;17410;11510;11510;0;0;0;0;4510;1340;30;20;56.000;
Trombocitopenia e Inflamação;8,37;11,8;34;;40,6;34,7;0;8,6;22300;17840;17840;0;0;0;0;3791;0;0;669;262.000;
Anemia e infecção;4,51;10,6;32;;79,9;33,1;0;;7000;5180;5180;0;0;0;0;910;0;700;210;120.000;
Anemia hemolítica;2,62;7,9;19;;72,51;41,57;3;7,1;81600;73440;62016;11424;0;1632;0;2448;4080;0;0;923000;
Anemia;3,15;4;12;;38,7;33,33;0;8;13300;5719;5719;0;0;0;0;6783;133;665;0;490000;
Anemia;2,76;4,5;13;;47,1;34,62;1;12;19400;17848;17848;0;0;0;0;776;388;388;0;717000;
Hipoplasia mielóide;6,71;10,4;27;;40,24;38,52;0;6,6;2400;1632;1632;0;0;0;0;624;96;48;0;386000;
Anemia;3,94;11,2;34;;86,3;32,9;0;6,6;23800;23086;23086;0;0;0;0;238;476;0;0;290000;
Anemia;4,9;12,5;35;25,51;71,43;35,71;4;8,2;25000;20250;20250;0;0;0;0;1500;3000;250;0;400000;
Anemia;4,53;11,6;32;25,61;70,64;36,25;2;7,2;8800;6952;6952;0;0;0;0;792;528;528;0;264000;
Anemia;3,44;7,7;22;22,38;63,95;35;0;7,6;24900;21912;21912;0;0;0;0;996;1494;498;0;275000;
Anemia;1,62;3,8;10;23,46;61,73;38;0;7,5;9400;940;940;0;0;0;0;8084;94;282;0;15000;
Anemia;0,83;2,1;5;25,3;60,24;42;0;6;33800;3380;3042;338;0;0;0;30420;0;0;0;24000;
Pancreatite;7,83;18,9;53;24,14;67,69;35,66;0;6,8;31500;24255;24255;0;0;0;0;2520;1260;3465;0;372000;
Inflamação grave;4,53;11,2;34;;75,05;32,94;7;5,3;22100;14586;12818;1768;0;221;0;4420;1768;1105;0;240000;
Inflamação grave;5,1;11,9;36;;71;30;1;5,5;31500;25800;22200;3600;0;0;0;1700;500;500;0;280000;
